epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,seconds
15,6.97514881858894e-05,0.25898193588946805,0.9881396136902745,0.9879570220095851,0.3553382004795105,0.9399684044233807,0.9393911639284672,427.03784561157227
16,6.614183272437242e-05,0.24879790497650256,0.9935615045747205,0.9934636868672381,0.3576443888376486,0.9320695102685624,0.9317364782573729,393.9122726917267
17,6.243882282893937e-05,0.2503638038470437,0.9908505591324974,0.9907387904166001,0.3396045903176493,0.9447077409162717,0.9441975991066706,421.99000239372253
18,5.8665288786971314e-05,0.24316237004923844,0.9935615045747205,0.9934920901849376,0.3445629594261989,0.943127962085308,0.9423590779485624,396.63645339012146
19,5.48444956906644e-05,0.242932258400421,0.9935615045747205,0.993529352850901,0.3566605208138531,0.9352290679304898,0.9348898721640861,403.10453844070435
20,5.1e-05,0.23660567614919895,0.997289054557777,0.9972504143945999,0.34351953350913844,0.9462875197472354,0.9460597316815145,422.9885194301605
21,4.71555043093356e-05,0.23627509997279633,0.9959335818366656,0.9958644463476493,0.33708293639464776,0.943127962085308,0.9428111758056522,426.1314218044281
22,4.33347112130287e-05,0.23354959229379135,0.9976279227380549,0.9975862596586629,0.3423599163879527,0.9399684044233807,0.939395927371532,438.02150869369507
23,3.9561177171060635e-05,0.23377922655000238,0.9976279227380549,0.9976066302437223,0.342528520225537,0.9415481832543444,0.9409548518645848,470.7224533557892
24,3.5858167275627575e-05,0.23316376666645405,0.9976279227380549,0.9976120497547559,0.3409365668398509,0.9399684044233807,0.9394798775569163,433.03174662590027
25,3.22485118141106e-05,0.2317416473278875,0.9979667909183327,0.9979293469699942,0.33164355107016663,0.9478672985781991,0.9474616994206848,383.6935863494873
26,2.8754465512762204e-05,0.2305629387098989,0.9969501863774991,0.9969635470510713,0.33142900259762204,0.9494470774091627,0.948998117911567,367.5796389579773
27,2.5397570328918506e-05,0.22861124524137846,0.9976279227380549,0.9975957126668605,0.33079065511953587,0.9447077409162717,0.944067556828805,363.050395488739
28,2.219852263766882e-05,0.22537129666998362,0.9989833954591664,0.9989515771766678,0.32728162398458843,0.9478672985781991,0.9474150311912092,364.24134516716003
29,1.9177045631821004e-05,0.2271696334570313,0.9976279227380549,0.9975717508189544,0.32968803689378134,0.9494470774091627,0.9488935992133387,370.42394614219666
30,1.6351767721859172e-05,0.22544283508971683,0.9983056590986107,0.9982852222048207,0.3345998651796796,0.943127962085308,0.9426829525286852,368.2424557209015
31,1.374010768559848e-05,0.22581665168896,0.9979667909183327,0.9979150181700955,0.3313074233407658,0.9415481832543444,0.941093551435797,367.22298884391785
32,1.1358167275627576e-05,0.22645795745229122,0.9983056590986107,0.9982790234732868,0.33625482368808224,0.9415481832543444,0.9410432717044127,363.4161787033081
33,9.22063194664948e-06,0.2252277365299614,0.9983056590986107,0.9982873391542798,0.3348352195338992,0.9462875197472354,0.9458776085500709,359.0407679080963
34,7.340680314769976e-06,0.22408894598181067,0.9986445272788885,0.9986191303681572,0.32693943541385173,0.943127962085308,0.942691342662986,359.97129249572754
35,5.729902906946948e-06,0.22305112449507195,0.9996611318197222,0.9996505113865881,0.325877859176241,0.9494470774091627,0.9488451643942382,359.0682952404022
36,4.398230701537476e-06,0.22332950227242815,0.9986445272788885,0.9986492058060354,0.3278184131046795,0.9462875197472354,0.9458068957249168,361.3689193725586
37,3.3538739005138483e-06,0.22374709074233032,0.9993222636394442,0.9993069821451244,0.32710005590136015,0.9478672985781991,0.9473170233258643,360.8998873233795
38,2.6032713108382548e-06,0.2240235061311835,0.9989833954591664,0.9989577754678793,0.327222033793704,0.9462875197472354,0.9458355848758645,358.6124794483185
